title,score,category,description,proficiencyLevel,surveyUrl
Leader Lens for Q3 FY23,4.554643083,Soft Skills,"Leader Lens provides a simplified quarterly view of AE and leader-specific enablement, helping you to plan your own learning while supporting your team and holding them accountable.",Beginner,https://readiness.my.salesforce.com/survey/runtimeApp.app?invitationId=0Ki2E0000001F32&surveyName=act_course_survey&UUID=d846043d-0399-447b-9393-9d08ebe08cc9
Salesforce Skills: Selling Conversations,4.352941176,Salesforce Smart,Improve your selling conversations and strengthen your techniques and confidence in securing mutually beneficial agreements with new customers.,Beginner,https://readiness.my.salesforce.com/survey/runtimeApp.app?invitationId=0Ki2E0000005mBx&surveyName=act_course_survey&UUID=732bc579-41eb-4ab2-80dc-67a677278ce7
[PILOT] Enablement: Prepare to Engage,0,Product,"Welcome to Enablement: Prepare to Engage, where you’ll gain the knowledge and skills to successfully engage your customer in a conversation on the Enablement product..",Beginner,https://readiness.my.salesforce.com/survey/runtimeApp.app?invitationId=0Ki2E0000001H0F&surveyName=act_course_survey&UUID=d88b869c-72ac-469a-8efe-4098cf88e12f
Succeed Phase: “Why Evolve” Value-Driven Conversations,4.482758621,Salesforce Smart,Drive customer success by showing your customer how expanding and evolving with Salesforce leads to greater success.,Beginner,https://readiness.my.salesforce.com/survey/runtimeApp.app?invitationId=0Ki2E000000U0y8&surveyName=act_course_survey&UUID=0164df75-0fc4-4bd2-b99c-9ff5e314d24a
Salesforce Skills: Effective Sales Prospecting,4.654867257,Salesforce Smart,Improve your prospecting results and build your confidence and techniques for securing high-value prospecting meetings.,Beginner,https://readiness.my.salesforce.com/survey/runtimeApp.app?invitationId=0Ki2E000000U6ET&surveyName=act_course_survey&UUID=6ffc989b-b4d8-47f3-bb1b-6f95e7f30f82
Incentive Compensation for CSG,4.496221662,Salesforce Smart,This Course is designed to help you navigate your Incentive Compensation Plan. The intended audience is New Hires (or individuals who are new to their roles) but it can also be a great refresher for anyone who has an Incentive Compensation Plan!,Beginner,https://readiness.my.salesforce.com/survey/runtimeApp.app?invitationId=0Ki2E000000U05m&surveyName=act_course_survey&UUID=13eec98f-1360-40b9-8567-335d87e35960
CPQ Intermediate Learning Path for CSG,5,Product,Explore the fundamentals of the sales tool that helps your customers' sales team provide accurate pricing and create quotes faster than ever before.,Intermediate,https://readiness.my.salesforce.com/survey/runtimeApp.app?invitationId=0Ki2E000000QdYS&surveyName=act_course_survey&UUID=13aff639-e6e8-4464-b9c8-7fccd242c422
Support: CRM Security Basics,5,Product,This course helps Support Engineers learn to handle cases related to Security.,Beginner,https://readiness.my.salesforce.com/survey/runtimeApp.app?invitationId=0Ki2E000000QdRy&surveyName=act_course_survey&UUID=ef037c33-6bfe-4f11-8b92-05dacc283ff1
NPI: Loyalty Management Acknowledgement,4.428571429,Product,This course contains an acknowledgment to complete after you have reviewed the NPI for Loyalty Management.,Beginner,https://readiness.my.salesforce.com/survey/runtimeApp.app?invitationId=0Ki2E000000Qddp&surveyName=act_course_survey&UUID=1bb8c268-1c6e-4c04-bcd6-03c66e1e5807
[PILOT] Salesforce Skills: Negotiate Success,0,Salesforce Smart,Improve your negotiation skills and strengthen your techniques and confidence in securing mutually beneficial agreements with new customers.,Beginner,https://readiness.my.salesforce.com/survey/runtimeApp.app?invitationId=0Ki2E0000001FI7&surveyName=act_course_survey&UUID=1bb09de3-7509-4e82-8add-261eb194f67f
