Id,Name,,Url,Description
a1F2E0000078uizUAA,Sales Cloud Rollout Strategy,,https://developer.salesforce.com/trailhead/module/sales-cloud-rollout-strategy/,Create a blueprint for a successful Sales Cloud implementation.
a1F2E0000078ujOUAQ,Sales Cloud Configuration Basics,,https://developer.salesforce.com/trailhead/module/sales-cloud-configuration-basics/,Customize Sales Cloud to fit your business needs.
a1F2E000007ZzdtUAC,Salesforce Adoption Strategies,,https://developer.salesforce.com/trailhead/module/salesforce-adoption-strategies/,Get your sales reps using Salesforce to succeed.
a1F2E000007ZzetUAC,User Adoption Metrics,,https://developer.salesforce.com/trailhead/module/user-adoption-metrics/,Discover tools for tracking end user adoption of Salesforce.
a1F2E000007ZzfcUAC,UX Personas for Salesforce,,https://developer.salesforce.com/trailhead/module/ux-personas-for-salesforce/,Explore the Salesforce user research personas and learn how to use them at your business.
a1F2E000007ZzhQUAS,Data Security,,https://developer.salesforce.com/trailhead/module/data_security/,Control access to data using point-and-click security tools.
a1F2E000007ZzhTUAS,"Salesforce, Gmail, and Google Calendar Integration",,https://developer.salesforce.com/trailhead/module/gmail_integration/,Help reps track customer interactions and work their Salesforce deals directly in Gmail and Google Calendar.
a1F2E000007ZzhqUAC,Salesforce CPQ Basics,,https://developer.salesforce.com/trailhead/module/sf_cpq/,Discover how Salesforce CPQ helps your sales team create quotes faster than ever before.
a1F2E000007ZziMUAS,User Management,,https://developer.salesforce.com/trailhead/module/lex_implementation_user_setup_mgmt/,Set up users and control how they can view or edit your business data.
a1F2E000007ZzizUAC,Salesforce Platform Basics,,https://developer.salesforce.com/trailhead/module/starting_force_com/,"Get introduced to the platform, navigate use cases, and build custom functionality."
a1F2E000007ZzjvUAC,Salesforce and Outlook Integration,,https://developer.salesforce.com/trailhead/module/outlook_integration/,Help reps track customer interactions and work their Salesforce deals directly in Outlook.
a1F2E000007ZzkUUAS,Sales Cloud Basics,,https://developer.salesforce.com/trailhead/module/sales-cloud-platform-quick-look/,"Grow your business, boost productivity, and make smart decisions with Sales Cloud."
a1F2E000007ZzkfUAC,Salesforce User Basics,,https://developer.salesforce.com/trailhead/module/lex_salesforce_basics/,Get started with Salesforce and learn how to make it work for your bottom line.
a1F2E000007ZzlwUAC,Sales Cloud Features,,https://org62.my.trailhead.com/content/employee/modules/mr_sales_cloud_features/,"Dig deeper into Sales Cloud products, business value, and buyers."
a1F2E000007ZzmwUAC,Pardot Lightning App Basics,,https://developer.salesforce.com/trailhead/module/pardot-basics-lightning/,Learn what Pardot is and how it can help you market to other businesses.
a1F2E000007Zzo4UAC,Security Basics,,https://developer.salesforce.com/trailhead/module/security_basics/,"Educate your users, protect your Salesforce org, and encourage a culture of security."
a1F2E0000088L4EUAU,Salesforce Maps Basics,,https://developer.salesforce.com/trailhead/module/salesforce-maps-basics/,Learn how to visualize and optimize your location data with Salesforce Maps.
a1F2E000008KbD7UAK,Revenue Cloud Capabilities: Quick Look,,https://org62.my.trailhead.com/content/employee/modules/cpq-billing-capabilities-quick-look/,Speed up sales quotes and payment collection with Revenue Cloud.
a1F2E000008LcfCUAS,Mortgage Mastery with Financial Services Cloud,,https://developer.salesforce.com/trailhead/module/mortgage-mastery-with-financial-services-cloud/,Deliver connected custom experiences with the mortgage platform in Financial Services Cloud.
a1F2E000008MPBuUAO,Quip for Sales Selling Basics,,https://org62.my.trailhead.com/content/employee/modules/salesforce-anywhere-selling-basics/,Learn how Quip for Sales helps businesses close deals faster and increase revenue.
a1F2E000008Qgt0UAC,Sales with Salesforce: Quick Look,,https://developer.salesforce.com/trailhead/module/sales-cloud-quick-look-1/,"Connect with customers, close more deals, and build your business with Salesforce."
a1F2E000008kG9qUAE,Salesforce Architecture Diagrams: Quick Look,,https://developer.salesforce.com/trailhead/module/archdia/,Learn how architecture diagrams help you create connected customer experiences.
